"Str Student","Restriction","Start Date","End Date","Class","Credits - Current Registered Credits + Completed Credits","Credits - Completed Credits Undergrad ONLY","Active Programs","Student Restrictions Id"
"1255176","INS23","2022-10-06","2022-10-13","ALUM","120.00","120.00","","288992"
"1252266","INS23","2022-10-06","2022-10-13","ALUM","120.00","120.00","","288993"
"1252527","INS23","2022-10-06","2022-10-23","SR","138.00","126.00","PWRT.BS","288994"
"1255275","INS23","2022-10-06","","FY","18.00","18.00","","288995"
"1254808","INS23","2022-10-06","2022-10-30","FY","12.00","12.00","","288996"
"1253678","INS23","2022-10-06","2022-10-24","ALUM","124.00","124.00","","288997"
"1249492","INS23","2022-10-06","2022-10-23","SR","111.00","111.00","","288998"
"1253699","INS23","2022-10-06","2022-10-19","FY","25.00","25.00","","288999"
"1251937","INS23","2022-10-06","2022-10-24","SR","97.00","97.00","","289000"
"1247980","INS23","2022-10-06","2022-10-23","ALUM","120.00","120.00","","289001"
"1251696","INS23","2022-10-06","2022-10-19","ALUM","127.00","127.00","","289002"
"1198691","INS23","2022-10-06","2022-10-23","JR","67.00","67.00","","289003"
"1252517","INS23","2022-10-06","2022-10-23","SO","72.00","60.00","CREM.BFA","289004"
"1252605","INS23","2022-10-06","2023-01-08","SR","117.00","105.00","SOWK.BSW","289005"
"1254817","INS23","2022-10-06","2022-10-30","SR","120.00","106.00","GMRT.BS","289006"
"1252940","INS23","2022-10-06","2022-10-17","ALUM","126.00","126.00","","289007"
"1252466","INS23","2022-10-06","2022-10-20","SO","51.00","51.00","","289008"
"1254551","INS23","2022-10-06","2022-10-23","SO","61.00","61.00","","289009"
"1248059","INS23","2022-10-06","2022-10-23","SR","118.00","118.00","","289010"
"1254240","INS23","2022-10-06","2022-10-19","ALUM","120.00","120.00","","289011"
"1254714","INS23","2022-10-06","2022-10-19","ALUM","122.00","122.00","","289012"
"1252635","INS23","2022-10-06","2022-10-27","ALUM","120.00","120.00","","289013"
"1251957","INS23","2022-10-06","2022-10-19","JR","63.00","63.00","","289014"
"1254012","INS23","2022-10-06","2022-10-17","ALUM","120.00","120.00","","289015"
"1250691","INS23","2022-10-06","2022-10-17","ALUM","127.00","127.00","","289016"
"1252472","INS23","2022-10-06","2022-10-17","JR","91.00","91.00","","289017"
"1254976","INS23","2022-10-06","2023-04-25","JR","98.00","81.00","GPMG.BS","289018"
"0885964","INS23","2022-10-06","2022-10-19","ALUM","120.00","120.00","","289019"
"1254142","INS23","2022-10-06","2022-10-25","JR","92.00","92.00","","289020"
"1253438","INS23","2022-10-06","2023-01-15","SR","122.00","110.00","DIGF.BS","289021"
"1249303","INS23","2022-10-06","2022-10-11","ALUM","120.00","120.00","","289022"
"1110685","INS23","2022-10-06","2022-10-17","FY","30.00","30.00","","289023"
"1253502","INS23","2022-10-06","","FY","24.00","24.00","","289024"
"1248140","INS23","2022-10-06","2022-10-27","ALUM","121.00","121.00","","289025"
"1254826","INS23","2022-10-06","2022-10-17","ALUM","132.00","132.00","","289026"
"1253313","INS23","2022-10-06","2022-10-25","ALUM","124.00","124.00","","289027"
"1252262","INS23","2022-10-06","2022-10-18","SR","123.00","109.00","SOWK.BSW","289028"
"1254099","INS23","2022-10-06","2022-10-23","SO","47.00","47.00","","289029"
"1247657","INS23","2022-10-06","2022-10-27","SR","121.00","109.00","CRCJ.BS","289030"
"1251669","INS23","2022-10-06","2023-12-11","FY","22.00","22.00","","289031"
"1252580","INS23","2022-10-06","","FY","37.00","37.00","","289032"
"1257397","INS23","2022-10-06","2023-01-15","ALUM","122.00","122.00","","289033"
"1197604","INS23","2022-10-06","2022-10-12","ALUM","129.00","129.00","","289034"
"1251135","INS23","2022-10-06","2022-10-23","ALUM","120.00","120.00","","289035"
"1254825","INS23","2022-10-06","2022-10-24","FY","15.00","15.00","","289036"
"1242712","INS23","2022-10-06","2022-11-06","SR","121.00","107.00","CREM.BFA","289037"
"1254328","INS23","2022-10-06","2022-10-25","SR","105.00","91.00","SOWK.BSW","289038"
"1254482","INS23","2022-10-06","2022-10-20","SO","54.00","54.00","","289039"
"1254807","INS23","2022-10-06","2022-10-24","SO","30.00","30.00","","289040"
